,Age,Education,Status,Income,Kid,Teen,Duration,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
21,45,Graduate,Couple,2447.0,1,0,2013-06-01,42,1,1,1725,1,1,1,15,0,28,0,1
22,75,Postgraduate,Couple,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8
23,70,Postgraduate,Couple,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4
24,73,Graduate,Couple,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8
25,55,Graduate,Alone,18589.0,0,0,2013-02-01,89,6,4,25,15,12,13,2,2,1,3,7
26,48,Graduate,Couple,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7
27,38,Graduate,Alone,,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1
28,35,Graduate,Couple,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3
29,59,Postgraduate,Couple,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2
30,35,Postgraduate,Alone,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5
31,61,Postgraduate,Couple,38620.0,0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3
32,54,Graduate,Couple,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5
33,72,Postgraduate,Alone,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6
34,78,Postgraduate,Couple,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7
35,73,Postgraduate,Alone,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7
36,54,Postgraduate,Couple,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2
37,48,Undergraduate,Couple,23718.0,1,0,2013-02-09,76,6,3,14,15,7,36,3,3,1,2,7
38,51,Graduate,Alone,42429.0,0,1,2014-11-02,99,55,0,6,2,0,4,2,1,1,3,5
39,81,Postgraduate,Alone,48948.0,0,0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6
40,44,Graduate,Couple,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4
41,39,Postgraduate,Couple,20559.0,1,0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8
42,67,Graduate,Couple,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5
43,65,Postgraduate,Alone,,0,0,2013-05-11,80,81,11,50,3,2,39,1,1,3,4,2
44,49,Postgraduate,Couple,7500.0,1,0,2013-02-10,19,3,1,10,3,2,12,3,2,0,3,5
45,48,Graduate,Alone,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1
46,28,Undergraduate,Couple,7500.0,0,0,2012-09-11,24,3,18,14,15,22,50,3,3,1,3,9
47,56,Graduate,Couple,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10
48,73,Graduate,Alone,,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6
49,70,Postgraduate,Couple,72550.0,1,1,2012-08-11,39,826,50,317,50,38,38,9,5,2,12,8
50,67,Graduate,Alone,65486.0,0,1,2014-12-05,29,245,19,125,37,67,14,1,4,2,10,2
51,60,Postgraduate,Couple,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3
52,47,Graduate,Alone,35790.0,1,0,2013-02-01,54,12,6,20,30,1,3,2,2,0,3,7
53,47,Graduate,Alone,82582.0,0,0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1
54,46,Graduate,Couple,66373.0,1,1,2013-12-06,57,328,9,124,12,24,109,7,4,2,10,3
55,69,Postgraduate,Couple,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1
56,58,Graduate,Alone,70287.0,0,0,2013-02-04,30,295,35,482,121,120,40,1,5,5,10,3
57,36,Graduate,Alone,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3
58,42,Graduate,Alone,,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6
59,56,Postgraduate,Couple,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7
60,42,Postgraduate,Alone,75777.0,0,0,2013-04-07,12,712,26,538,69,13,80,1,3,6,11,1
61,49,Graduate,Couple,66653.0,1,1,2012-07-09,18,452,18,102,16,18,6,4,4,2,12,3
62,72,Graduate,Alone,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7
63,73,Postgraduate,Alone,67680.0,0,1,2013-11-06,8,546,0,48,0,6,6,1,7,3,8,5
64,76,Graduate,Couple,70666.0,0,0,2013-06-12,29,398,40,367,119,122,30,1,7,4,4,4
65,53,Graduate,Couple,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7
66,57,Graduate,Couple,32474.0,1,1,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7
67,45,Undergraduate,Alone,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5
68,66,Graduate,Couple,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4
69,54,Graduate,Couple,74854.0,1,2,2013-08-04,90,856,59,487,58,29,73,7,2,5,5,5
70,70,Postgraduate,Couple,66991.0,0,0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3
71,51,Undergraduate,Couple,,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8
72,65,Graduate,Couple,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7
73,49,Postgraduate,Couple,60631.0,1,1,2013-05-04,88,565,6,65,0,6,19,5,9,2,8,7
74,72,Graduate,Couple,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2
75,47,Graduate,Alone,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6
76,52,Postgraduate,Couple,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5
77,48,Graduate,Alone,75825.0,0,0,2012-12-10,40,1032,105,779,137,105,51,0,5,8,9,4
78,48,Undergraduate,Couple,26326.0,0,0,2013-04-09,12,1,0,5,0,3,9,1,0,0,3,3
79,59,Graduate,Couple,56046.0,0,0,2013-02-01,9,577,0,64,0,0,51,2,10,1,8,8
80,39,Graduate,Alone,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8
81,55,Graduate,Couple,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7
82,51,Undergraduate,Couple,23559.0,1,0,2013-03-07,87,25,5,19,7,0,23,3,3,0,3,7
83,61,Postgraduate,Couple,38620.0,0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3
84,37,Graduate,Alone,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1
85,64,Graduate,Couple,29440.0,1,1,2013-11-08,95,17,8,14,10,4,3,2,1,0,4,7
86,54,Postgraduate,Couple,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7
87,67,Graduate,Alone,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7
88,51,Graduate,Couple,79593.0,0,0,2014-12-05,70,350,60,568,110,133,145,1,5,6,7,2
89,57,Graduate,Couple,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2
90,67,Postgraduate,Couple,,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9
91,67,Graduate,Alone,,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7
92,51,Postgraduate,Couple,,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1
93,52,Postgraduate,Alone,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7
94,54,Postgraduate,Couple,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5
95,41,Graduate,Couple,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6
96,64,Graduate,Alone,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6
97,52,Graduate,Alone,51813.0,1,1,2013-11-04,37,51,2,7,0,1,2,2,2,0,3,7
98,73,Undergraduate,Couple,78497.0,0,0,2013-01-12,44,207,26,447,75,0,223,1,5,7,12,2
99,41,Postgraduate,Couple,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5
100,64,Undergraduate,Alone,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8
101,65,Postgraduate,Alone,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6
102,45,Graduate,Couple,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5
103,79,Postgraduate,Couple,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4
104,65,Graduate,Couple,87195.0,0,0,2014-08-05,35,217,76,690,50,26,38,1,3,11,5,1
105,45,Undergraduate,Couple,24594.0,1,0,2013-10-12,94,1,3,6,10,0,9,1,1,0,3,5
106,60,Graduate,Couple,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7
107,55,Graduate,Couple,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6
108,46,Graduate,Alone,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7
109,64,Postgraduate,Couple,89058.0,0,0,2012-07-12,18,454,194,106,31,22,43,1,5,4,4,2
110,45,Graduate,Couple,77298.0,0,1,2013-02-11,46,425,115,292,23,35,79,1,6,6,11,3
111,33,Postgraduate,Alone,68126.0,0,0,2012-10-11,40,1332,17,311,23,51,86,1,7,4,5,9
112,61,Postgraduate,Couple,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6
113,33,Graduate,Alone,86037.0,0,0,2013-02-01,95,490,44,125,29,20,22,1,6,7,11,3
114,44,Postgraduate,Couple,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7
115,62,Graduate,Alone,50785.0,1,1,2013-10-09,27,64,1,21,0,1,27,2,2,1,3,6
116,54,Graduate,Couple,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1
117,46,Undergraduate,Couple,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9
118,57,Undergraduate,Couple,30753.0,1,1,2013-11-07,85,12,5,25,0,9,30,2,1,1,3,5
119,55,Graduate,Couple,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6
120,71,Postgraduate,Couple,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4
121,57,Postgraduate,Alone,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5
122,39,Postgraduate,Couple,19510.0,2,0,2013-04-09,63,9,0,7,3,4,7,2,1,0,3,7
123,48,Graduate,Alone,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7
124,41,Graduate,Alone,101970.0,0,0,2013-12-03,69,722,27,102,44,72,168,0,6,8,13,2
125,59,Undergraduate,Couple,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1
126,40,Graduate,Alone,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1
127,71,Postgraduate,Couple,54348.0,1,1,2014-08-06,51,70,0,16,0,0,4,2,2,0,4,6
128,63,Postgraduate,Couple,,0,1,2013-11-07,23,352,0,27,10,0,15,3,6,1,7,6
129,68,Postgraduate,Couple,77376.0,1,1,2014-10-05,72,492,19,110,16,12,12,4,6,3,10,4
130,72,Graduate,Couple,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5
131,66,Postgraduate,Alone,61331.0,1,1,2013-10-03,42,534,5,47,0,5,41,5,11,1,6,8
132,55,Graduate,Couple,73448.0,0,0,2014-10-02,10,236,106,189,23,41,130,1,7,2,9,4
133,61,Graduate,Couple,,0,1,2013-11-08,96,231,65,196,38,71,124,1,6,5,7,4
134,60,Postgraduate,Couple,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8
135,57,Postgraduate,Couple,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3
136,48,Undergraduate,Alone,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8
137,65,Postgraduate,Couple,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8
138,51,Postgraduate,Alone,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5
139,59,Postgraduate,Alone,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7
140,32,Postgraduate,Alone,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2
141,48,Postgraduate,Couple,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7
142,62,Graduate,Couple,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2
143,50,Postgraduate,Alone,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6
144,36,Graduate,Couple,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7
145,48,Graduate,Couple,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8
146,49,Graduate,Couple,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6
147,43,Graduate,Couple,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8
148,51,Undergraduate,Couple,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8
149,58,Postgraduate,Couple,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3
150,71,Postgraduate,Couple,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3
151,55,Graduate,Couple,65747.0,0,1,2014-07-03,96,346,17,48,23,13,13,4,8,1,6,6
152,52,Undergraduate,Couple,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7
153,36,Graduate,Alone,34176.0,1,0,2014-12-05,12,5,7,24,19,14,20,4,3,0,4,6
154,72,Postgraduate,Couple,61010.0,0,1,2012-09-10,57,888,0,57,0,0,76,2,8,5,11,5
155,75,Graduate,Couple,69372.0,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4
156,66,Graduate,Alone,49967.0,0,1,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7
157,46,Graduate,Alone,60199.0,1,2,2013-12-09,49,8,1,7,2,0,0,1,0,0,3,4
158,47,Graduate,Couple,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2
159,69,Graduate,Alone,80317.0,0,0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1
160,66,Postgraduate,Alone,30523.0,2,1,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7
161,79,Postgraduate,Couple,70356.0,0,0,2012-05-11,20,1349,16,249,43,16,33,2,10,6,9,6
162,40,Graduate,Couple,23228.0,1,0,2014-05-01,91,53,3,49,7,4,5,4,3,0,4,8
163,49,Postgraduate,Alone,74165.0,0,0,2013-01-05,9,1001,12,240,16,12,12,1,5,4,10,2
164,51,Postgraduate,Couple,157243.0,0,1,2014-01-03,98,20,2,1582,1,2,1,15,0,22,0,0
165,58,Graduate,Couple,43482.0,2,1,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6
166,71,Graduate,Alone,62551.0,0,0,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3
167,65,Graduate,Alone,52332.0,0,0,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4
168,36,Graduate,Alone,66951.0,0,0,2013-02-11,46,277,162,305,173,76,124,1,3,4,7,1
169,67,Graduate,Couple,26091.0,1,1,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5
170,59,Graduate,Couple,33456.0,1,1,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7
171,42,Graduate,Couple,28718.0,1,0,2013-07-13,78,12,4,6,11,8,16,2,2,0,3,8
172,54,Graduate,Couple,50447.0,2,0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6
173,65,Postgraduate,Couple,53537.0,1,1,2014-01-30,17,81,0,6,0,0,6,2,2,1,3,5
174,57,Graduate,Alone,52074.0,0,1,2014-04-04,77,59,0,12,0,0,48,1,2,2,2,4
175,49,Postgraduate,Couple,80427.0,0,1,2012-12-09,56,1149,71,449,69,71,26,1,11,8,8,5
176,76,Postgraduate,Couple,83837.0,0,0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4
177,54,Postgraduate,Couple,38853.0,1,1,2014-05-23,90,29,0,14,0,0,2,2,2,0,3,7
178,65,Graduate,Couple,38285.0,2,1,2014-06-24,96,2,0,5,2,0,1,1,0,0,3,2
179,73,Undergraduate,Couple,78497.0,0,0,2013-01-12,44,207,26,447,75,0,223,1,5,7,12,2
180,48,Postgraduate,Couple,51650.0,0,1,2014-11-05,81,152,3,22,2,5,7,1,4,1,4,5
181,36,Undergraduate,Couple,16248.0,1,0,2014-10-05,77,12,11,10,3,12,9,3,2,1,3,6
182,78,Postgraduate,Couple,66835.0,0,0,2013-09-28,21,620,26,195,34,17,141,1,6,4,13,2
183,40,Postgraduate,Couple,30477.0,1,0,2014-01-22,16,47,1,6,0,0,12,1,1,1,3,6
184,63,Undergraduate,Couple,28249.0,0,0,2014-06-15,80,1,9,7,2,14,10,1,2,0,3,6
185,41,Graduate,Couple,25271.0,1,0,2012-05-12,45,10,1,18,10,4,7,1,1,1,2,9
186,54,Postgraduate,Alone,32303.0,0,1,2014-08-03,63,35,0,2,0,0,2,2,1,0,4,5
187,58,Graduate,Couple,61286.0,0,1,2013-02-08,34,356,0,107,19,9,117,2,7,1,8,5
188,48,Graduate,Couple,74068.0,0,0,2013-03-19,14,783,30,537,140,76,15,1,4,10,9,2
189,60,Postgraduate,Couple,45759.0,1,1,2013-02-23,13,42,1,18,3,0,4,2,2,0,3,7
190,46,Undergraduate,Couple,24882.0,1,0,2012-09-09,52,1,4,10,29,0,36,1,1,1,2,6
191,35,Postgraduate,Couple,66973.0,0,0,2013-05-17,98,466,22,432,147,113,102,1,8,7,12,3
192,124,Undergraduate,Alone,36640.0,1,0,2013-09-26,99,15,6,8,7,4,25,1,2,1,2,5
193,36,Graduate,Couple,38872.0,1,0,2013-05-30,93,23,3,21,3,19,22,2,3,0,3,8
194,51,Graduate,Couple,51148.0,1,1,2013-02-18,38,235,6,45,8,9,12,4,5,1,6,6
195,47,Graduate,Couple,31353.0,1,1,2013-12-29,24,10,0,10,3,1,7,2,1,1,2,8
196,44,Postgraduate,Couple,69661.0,0,0,2014-05-13,80,656,16,106,32,16,8,1,7,3,12,3
197,70,Graduate,Couple,80067.0,0,0,2013-09-19,82,519,17,813,27,173,51,1,4,6,6,2
198,70,Graduate,Couple,86718.0,0,0,2013-01-17,20,344,189,482,50,33,172,1,5,6,5,2
199,51,Postgraduate,Alone,46854.0,1,1,2014-03-31,81,96,1,79,7,1,79,6,5,1,3,8
200,72,Graduate,Alone,69142.0,0,1,2014-06-29,50,448,4,34,6,4,39,3,8,1,7,5
201,56,Graduate,Alone,75922.0,0,0,2013-09-12,60,265,138,553,224,23,92,1,4,4,9,1
202,46,Graduate,Alone,63693.0,0,1,2013-10-14,63,587,43,337,42,87,54,3,11,6,9,6
203,47,Postgraduate,Couple,102160.0,0,0,2012-02-11,54,763,29,138,76,176,58,0,7,9,10,4
204,59,Postgraduate,Alone,40637.0,1,1,2013-07-17,72,22,0,13,0,0,3,2,1,0,3,7
205,40,Postgraduate,Alone,18890.0,0,0,2012-10-11,5,6,4,1,7,2,15,1,0,1,2,6
206,36,Graduate,Couple,29604.0,1,0,2013-08-12,88,7,6,13,7,6,14,1,1,0,3,9
207,61,Postgraduate,Alone,48721.0,1,1,2013-05-13,50,81,18,113,47,13,21,6,4,2,5,6
208,58,Graduate,Couple,44794.0,0,1,2014-08-06,99,54,0,7,0,0,4,1,2,0,3,6
209,70,Graduate,Alone,64497.0,0,1,2012-10-09,17,1170,48,320,42,32,192,5,11,4,9,8
210,68,Graduate,Couple,46097.0,0,1,2013-03-31,11,72,24,68,65,4,8,5,3,1,6,4
211,70,Graduate,Couple,77972.0,0,0,2014-03-18,18,613,22,319,33,102,12,1,4,6,9,1
212,56,Postgraduate,Couple,44377.0,1,1,2012-05-10,70,224,0,30,0,0,10,8,5,1,5,8
213,50,Postgraduate,Couple,46014.0,1,1,2013-01-21,21,410,0,59,19,9,44,10,7,1,8,7
214,39,Graduate,Couple,70951.0,0,0,2013-04-05,66,239,10,554,254,87,54,1,3,4,9,1
215,47,Graduate,Couple,41443.0,1,0,2014-01-04,79,171,7,171,25,19,89,6,8,1,5,8
216,46,Undergraduate,Alone,52195.0,2,1,2014-12-05,2,12,0,4,0,0,1,1,1,0,2,8
217,76,Postgraduate,Couple,83790.0,0,0,2013-11-15,81,1076,16,417,42,48,16,1,8,10,6,3
218,70,Postgraduate,Alone,44551.0,0,1,2013-08-31,24,182,4,33,0,0,66,2,4,1,5,7
219,44,Graduate,Couple,69508.0,1,0,2012-11-14,48,824,32,162,42,32,43,2,11,4,11,6
220,36,Undergraduate,Couple,45204.0,1,0,2014-11-04,93,30,11,25,29,1,18,1,1,1,4,3
221,55,Graduate,Couple,72460.0,0,0,2013-11-14,56,377,10,540,80,30,10,1,3,5,7,1
222,54,Postgraduate,Couple,77622.0,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3
223,44,Postgraduate,Couple,30732.0,1,0,2013-05-01,44,155,1,25,0,1,3,4,4,1,4,8
224,62,Graduate,Alone,63887.0,0,1,2012-08-09,38,897,23,207,15,11,92,5,9,6,12,6
225,46,Graduate,Couple,42011.0,1,0,2013-03-26,46,131,0,16,2,1,39,4,3,1,4,8
226,48,Graduate,Couple,51369.0,0,1,2012-10-25,84,297,7,79,0,11,182,2,8,2,4,8
227,72,Graduate,Alone,51537.0,0,1,2012-09-12,27,787,20,204,0,0,92,3,2,2,11,8
228,52,Postgraduate,Couple,79930.0,0,0,2012-08-08,72,792,86,740,67,51,17,1,3,5,8,2
229,38,Postgraduate,Couple,34320.0,1,0,2014-02-16,66,4,1,9,3,0,0,1,1,0,2,8
230,58,Graduate,Alone,37070.0,1,1,2013-03-20,30,231,7,137,4,15,39,9,5,1,8,7
231,62,Undergraduate,Alone,81975.0,0,1,2013-05-01,2,983,76,184,180,138,27,1,6,3,4,7
232,53,Graduate,Couple,38590.0,1,0,2013-05-15,65,3,1,8,4,3,3,1,1,0,2,8
233,73,Graduate,Alone,15033.0,0,0,2014-04-16,37,0,4,5,6,0,4,1,1,0,3,3
234,59,Postgraduate,Couple,62745.0,0,1,2013-03-23,89,562,21,464,28,10,32,3,7,8,11,5
235,49,Undergraduate,Couple,22212.0,1,0,2013-09-12,49,5,9,20,6,8,21,2,2,0,4,6
236,42,Postgraduate,Couple,23661.0,1,0,2013-04-12,46,18,0,4,0,0,1,1,1,0,3,7
237,66,Postgraduate,Alone,79761.0,0,1,2013-04-10,32,415,5,124,15,35,11,1,5,2,11,3
238,51,Graduate,Alone,7500.0,1,0,2013-12-26,54,5,3,10,12,7,20,4,3,1,3,7
239,131,Undergraduate,Alone,60182.0,0,1,2014-05-17,23,8,0,5,7,0,2,1,1,0,2,4
240,56,Graduate,Alone,73455.0,0,0,2013-10-28,98,901,61,757,186,163,20,1,6,5,10,3
241,66,Graduate,Couple,64961.0,0,1,2012-12-23,97,382,114,276,75,124,38,2,6,4,4,3
242,53,Graduate,Alone,22804.0,1,0,2013-07-31,75,14,1,7,2,1,1,1,2,0,2,9
243,34,Graduate,Couple,73687.0,0,0,2013-11-28,8,559,153,503,218,13,181,1,3,9,9,2
244,66,Graduate,Couple,61074.0,0,1,2012-08-17,37,789,0,133,0,28,152,7,11,5,8,7
245,60,Postgraduate,Couple,31686.0,1,1,2014-05-06,31,11,0,5,0,0,1,2,1,0,3,6
246,52,Graduate,Couple,80134.0,1,0,2013-05-20,40,1218,16,272,104,0,80,2,5,3,6,6
247,71,Graduate,Couple,75027.0,0,1,2013-09-01,74,925,64,179,133,12,77,2,9,4,6,5
248,36,Postgraduate,Couple,67546.0,0,0,2012-08-31,90,864,134,768,150,38,172,1,4,10,5,3
249,55,Postgraduate,Couple,65176.0,0,1,2012-10-29,57,960,28,183,220,70,70,4,9,6,6,6
250,49,Postgraduate,Alone,31160.0,1,0,2013-09-16,59,16,3,25,6,1,13,2,2,0,3,8
251,39,Graduate,Alone,29938.0,1,0,2013-10-27,52,3,3,7,0,2,11,2,1,0,3,6
252,50,Graduate,Alone,102692.0,0,0,2013-05-04,5,168,148,444,32,172,148,1,6,9,13,2
253,66,Undergraduate,Couple,26490.0,0,0,2012-09-22,92,45,47,52,21,20,25,2,3,1,5,6
254,57,Graduate,Couple,75702.0,1,1,2012-08-29,77,650,28,353,45,42,30,5,4,6,11,8
255,50,Postgraduate,Alone,30899.0,1,0,2012-10-13,35,24,0,8,0,0,1,2,1,0,3,6
